1787108486.9718084 [INFO] [launch]: All log files can be found below /home/m4/.ros/log/2026-08-18-20-01-26-969290-m4-6661
1787108486.9721930 [INFO] [launch]: Default logging verbosity is set to INFO
1787108487.0918589 [INFO] [rl_controller_hardware-1]: process started with pid [6713]
1787108487.0926020 [INFO] [tilt_controller_hardware-2]: process started with pid [6715]
1787108490.9038801 [tilt_controller_hardware-2] [INFO] [1787108490.903260410] [tilt_controller_hardware]: Starting TiltHardware node...
1787108640.7497394 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1787108640.7578194 [tilt_controller_hardware-2] [INFO] [1787108640.757442288] [tilt_controller_hardware]: tilt motor zeroed
1787108640.7581820 [tilt_controller_hardware-2] Failed to publish log message to rosout: publisher's context is invalid, at ./src/rcl/publisher.c:389
1787108640.7621346 [tilt_controller_hardware-2] [INFO] [1787108640.761741285] [tilt_controller_hardware]: port closed !
1787108640.7624407 [tilt_controller_hardware-2] Failed to publish log message to rosout: publisher's context is invalid, at ./src/rcl/publisher.c:389
1787108640.7895048 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7899737 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7901373 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7902989 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7904317 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7905774 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7906945 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7908030 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7909081 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7910116 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7911165 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7912178 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7913177 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7914176 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108640.7915177 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
