1787108176.8061931 [INFO] [launch]: All log files can be found below /home/m4/.ros/log/2026-08-18-19-56-16-802105-m4-5913
1787108176.8066633 [INFO] [launch]: Default logging verbosity is set to INFO
1787108176.9233229 [INFO] [rl_controller_hardware-1]: process started with pid [5965]
1787108176.9238465 [INFO] [tilt_controller_hardware-2]: process started with pid [5967]
1787108180.7919350 [tilt_controller_hardware-2] [INFO] [1787108180.791244385] [tilt_controller_hardware]: Starting TiltHardware node...
1787108448.6795406 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT)
1787108448.6899486 [tilt_controller_hardware-2] [INFO] [1787108448.688692330] [tilt_controller_hardware]: tilt motor zeroed
1787108448.6908150 [tilt_controller_hardware-2] Failed to publish log message to rosout: publisher's context is invalid, at ./src/rcl/publisher.c:389
1787108448.6947589 [tilt_controller_hardware-2] [INFO] [1787108448.694300338] [tilt_controller_hardware]: port closed !
1787108448.6951613 [tilt_controller_hardware-2] Failed to publish log message to rosout: publisher's context is invalid, at ./src/rcl/publisher.c:389
1787108448.7247128 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7252004 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7253709 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7255166 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7256494 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7257705 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7258873 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7260056 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7261167 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7262251 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7263331 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7264400 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7265921 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7267079 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7268159 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7269225 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7270281 [tilt_controller_hardware-2] tilt angle is: 85.53 deg
1787108448.7271349 [tilt_controller_hardware-2] tilt angle is: 85.52 deg
1787108448.7272406 [tilt_controller_hardware-2] tilt angle is: 73.52 deg
1787108448.7273457 [tilt_controller_hardware-2] tilt angle is: 53.95 deg
1787108448.7274523 [tilt_controller_hardware-2] tilt angle is: 32.52 deg
1787108448.7275569 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7276621 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7280478 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7281721 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7282875 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7283988 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7285614 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7286766 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7287843 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7288902 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7289953 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7291002 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7292044 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7293086 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7294130 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7295175 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7296209 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7297254 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7298305 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7299354 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7301123 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7302299 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7303388 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7305517 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7307558 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7308776 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7310455 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7311642 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7312756 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7313850 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7314916 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7315962 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7317007 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7318063 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7319119 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7322140 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7323389 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7324884 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7326083 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7327189 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7328272 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7329299 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7330327 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7331336 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7332349 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7333379 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7334387 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7335401 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7336409 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7337415 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7338414 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7339401 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7340407 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7341428 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7342446 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7343471 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7344489 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7346551 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7347691 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7348716 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7349710 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7350681 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7351639 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7352579 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7353489 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7354407 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7355332 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7356257 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7357230 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7358201 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7359214 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7360210 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7361212 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7362208 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
1787108448.7363148 [tilt_controller_hardware-2] tilt angle is: 32.49 deg
